booking_id,hotel_id,hotel_name,room_type,nights,price_per_night,check_in,status
3394,H034,Hotel b,Deluxe,9,455,2024-02-11,confirmed
4569,H046,Hotel n,Single,2,94,2024-11-01,confirmed
3651,H037,Hotel e,Suite,9,346,2024-01-24,confirmed
402,H005,Hotel E,Deluxe,1,145,2024-01-03,confirmed
4957,H050,Hotel r,Deluxe,10,167,2024-10-10,canceled
3366,H034,Hotel b,Double,3,189,2024-02-22,confirmed
769,H008,Hotel H,Deluxe,3,313,2024-11-08,confirmed
1470,H015,Hotel O,Suite,1,138,2024-07-21,confirmed
104,H002,Hotel B,Double,3,117,2024-07-11,confirmed
118,H002,Hotel B,Deluxe,7,399,2024-01-13,confirmed
2750,H028,Hotel \,Double,2,188,2024-08-02,confirmed
901,H010,Hotel J,Single,7,127,2024-07-21,confirmed
1176,H012,Hotel L,Deluxe,7,175,2024-11-15,canceled
403,H005,Hotel E,Suite,1,240,2024-02-02,confirmed
4792,H048,Hotel p,Double,3,198,2024-08-18,confirmed
4222,H043,Hotel k,Deluxe,4,78,2024-03-27,confirmed
3719,H038,Hotel f,Single,10,485,2024-11-07,canceled
3522,H036,Hotel d,Single,8,374,2024-05-21,confirmed
2333,H024,Hotel X,Deluxe,9,60,2024-02-27,confirmed
1572,H016,Hotel P,Single,5,181,2024-07-11,confirmed
4713,H048,Hotel p,Double,2,256,2024-02-23,canceled
1046,H011,Hotel K,Double,9,158,2024-01-14,canceled
1438,H015,Hotel O,Double,5,141,2024-08-27,canceled
2154,H022,Hotel V,Double,4,349,2024-12-26,confirmed
1684,H017,Hotel Q,Suite,5,343,2024-02-12,confirmed
2921,H030,Hotel ^,Suite,3,111,2024-03-04,confirmed
1694,H017,Hotel Q,Single,5,433,2024-05-09,confirmed
2052,H021,Hotel U,Suite,10,217,2024-09-22,confirmed
2520,H026,Hotel Z,Double,5,495,2024-10-21,canceled
2854,H029,Hotel ],Deluxe,1,100,2024-02-25,canceled
261,H003,Hotel C,Suite,4,500,2024-01-08,confirmed
3202,H033,Hotel a,Single,1,362,2024-10-26,confirmed
2094,H021,Hotel U,Suite,7,454,2024-04-21,confirmed
3720,H038,Hotel f,Double,2,258,2024-12-07,confirmed
3334,H034,Hotel b,Suite,7,350,2024-11-12,confirmed
478,H005,Hotel E,Single,10,330,2024-11-18,confirmed
1512,H016,Hotel P,Double,2,448,2024-11-14,confirmed
4584,H046,Hotel n,Single,2,448,2024-03-09,confirmed
3815,H039,Hotel g,Single,4,312,2024-07-07,confirmed
3757,H038,Hotel f,Single,1,196,2024-04-25,confirmed
1678,H017,Hotel Q,Deluxe,2,320,2024-01-11,confirmed
3867,H039,Hotel g,Suite,10,333,2024-06-27,confirmed
4287,H043,Hotel k,Single,4,65,2024-12-20,confirmed
1675,H017,Hotel Q,Double,3,99,2024-10-08,confirmed
393,H004,Hotel D,Double,7,122,2024-02-27,confirmed
2271,H023,Hotel W,Deluxe,9,322,2024-06-08,confirmed
3528,H036,Hotel d,Deluxe,9,480,2024-01-26,confirmed
2986,H030,Hotel ^,Double,8,368,2024-05-27,confirmed
3444,H035,Hotel c,Single,5,321,2024-02-03,canceled
2258,H023,Hotel W,Suite,4,451,2024-01-08,canceled
3434,H035,Hotel c,Deluxe,8,268,2024-09-17,canceled
554,H006,Hotel F,Double,7,343,2024-07-06,confirmed
2455,H025,Hotel Y,Single,2,256,2024-05-26,canceled
3630,H037,Hotel e,Single,4,91,2024-07-06,canceled
925,H010,Hotel J,Suite,6,465,2024-04-17,confirmed
4810,H049,Hotel q,Suite,6,216,2024-02-23,confirmed
3535,H036,Hotel d,Suite,1,387,2024-10-25,confirmed
4394,H044,Hotel l,Suite,7,491,2024-05-09,confirmed
3476,H035,Hotel c,Double,6,294,2024-06-28,confirmed
3035,H031,Hotel _,Deluxe,6,61,2024-05-20,confirmed
1211,H013,Hotel M,Single,8,335,2024-12-15,canceled
4028,H041,Hotel i,Deluxe,7,111,2024-12-09,confirmed
4608,H047,Hotel o,Suite,10,161,2024-05-27,canceled
2081,H021,Hotel U,Deluxe,1,199,2024-02-17,confirmed
2888,H029,Hotel ],Deluxe,2,227,2024-11-28,confirmed
4807,H049,Hotel q,Single,6,480,2024-07-20,confirmed
4379,H044,Hotel l,Deluxe,10,79,2024-10-21,confirmed
4235,H043,Hotel k,Deluxe,10,351,2024-07-27,confirmed
3492,H035,Hotel c,Suite,5,429,2024-05-26,confirmed
3589,H036,Hotel d,Deluxe,6,95,2024-08-11,confirmed
3518,H036,Hotel d,Single,6,202,2024-10-18,confirmed
3664,H037,Hotel e,Single,7,360,2024-04-28,confirmed
682,H007,Hotel G,Double,4,131,2024-05-19,confirmed
2285,H023,Hotel W,Deluxe,4,371,2024-01-21,canceled
1593,H016,Hotel P,Deluxe,9,215,2024-06-17,canceled
3990,H040,Hotel h,Deluxe,1,147,2024-02-03,confirmed
570,H006,Hotel F,Single,9,185,2024-09-04,confirmed
